"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Outdegree","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.6666666666666667","0.10762119152791935","0.6","0.16071428571428573","8","3","8","5","false","OPTN","9.125","0","8","3","0","0.9756225425950197","false","0","OPTN","1436","0.2765151515151515"
"1.7272727272727273","0.010423745495918492","0.5789473684210527","0.3076923076923077","13","2","13","10","false","IRGM","41.30769230769231","0","13","3","0","0.9837483617300131","false","0","IRGM","768","0.47480106100795755"
"1.2884615384615385","0.10680354669784756","0.7761194029850745","0.36716791979949875","57","3","57","19","false","IL10RA","47.421052631578945","0","57","38","0","0.99043250327654","false","0","IL10RA","13191","0.5099037917374081"
"2.0","0.005351681957186545","0.5","0.0","2","3","2","1","false","ATP6V0C","11.0","0","2","1","0","0.9719528178243776","false","0","ATP6V0C","63","0.5"
"1.4615384615384615","0.13763923888543197","0.6842105263157895","0.3580645161290323","31","2","31","24","false","IRF5","47.096774193548384","0","31","7","0","0.9872870249017038","false","0","IRF5","3452","0.5006863417982155"
"1.3333333333333333","0.02395514780835882","0.75","0.16666666666666666","3","2","3","1","false","SGTA","4.666666666666667","0","3","2","0","0.9688073394495412","false","0","SGTA","282","0.43333333333333335"
"1.0","0.0","1.0","0.0","1","1","1","0","false","BAHD1","6.0","0","1","1","0","0.9678899082568807","false","0","BAHD1","0","0.0"
"0.0","0.0","0.0","0.2","6","0","6","6","false","TRIM28","29.166666666666668","0","6","0","0","0.9820445609436436","false","0","TRIM28","0","0.37445887445887444"
"1.5","0.0047308077579572665","0.6666666666666666","0.31157635467980294","29","2","29","26","false","PRLR","51.10344827586207","0","29","3","0","0.9844036697247707","false","0","PRLR","1325","0.6227922624053827"
"1.9166666666666667","0.0","0.5217391304347826","0.16666666666666666","3","3","3","0","false","CARD10","13.666666666666666","0","3","3","0","0.9766710353866318","false","0","CARD10","0","0.3508771929824561"
"1.0","0.073101572826179","1.0","0.05","5","1","5","4","false","TRIM27","11.0","0","5","1","0","0.9779816513761469","false","0","TRIM27","961","0.23636363636363636"
"1.0","0.007475365273530411","1.0","0.0","2","1","2","1","false","GFOD1","2.0","0","2","1","0","0.9627785058977719","false","0","GFOD1","88","0.5"
"2.108695652173913","0.0","0.4742268041237113","0.3333333333333333","6","3","6","0","false","CARD8","31.833333333333332","0","6","6","0","0.981651376146789","false","0","CARD8","0","0.405982905982906"
"2.4285714285714284","0.052879714576962285","0.411764705882353","0.16666666666666666","4","4","4","3","false","CEP192","5.25","0","4","1","0","0.9716906946264745","false","0","CEP192","665","0.3125"
"2.1363636363636362","0.0","0.46808510638297873","0.16666666666666666","4","3","4","0","false","CEP152","11.5","0","4","4","0","0.9762778505897772","false","0","CEP152","0","0.28125"
"2.4","0.01645146675727717","0.4166666666666667","0.16666666666666666","3","4","3","1","false","CEP170","4.666666666666667","0","3","2","0","0.964875491480996","false","0","CEP170","249","0.43333333333333335"
"1.3333333333333333","0.060878921735190876","0.75","0.1","6","2","6","4","false","INAVA","3.0","0","6","2","0","0.9656618610747052","false","0","INAVA","772","0.2777777777777778"
"1.0","0.001995779662064066","1.0","0.38597560975609757","41","1","41","40","false","STAT4","48.58536585365854","0","41","1","0","0.9865006553079947","false","0","STAT4","166","0.5649461145774248"
"1.5972222222222223","0.0","0.6260869565217391","0.36989247311827955","31","3","31","0","false","CNTFR","51.03225806451613","0","31","31","0","0.9841415465268676","false","0","CNTFR","0","0.6379032258064516"
"1.5","0.09778997749878207","0.6666666666666666","0.3572938689217759","44","3","44","27","false","IL23A","47.68181818181818","0","44","17","0","0.9878112712975098","false","0","IL23A","8613","0.5480668756530825"
"1.4285714285714286","0.05672430002448119","0.7","0.34843205574912894","42","3","42","12","false","IL12B","46.73809523809524","0","42","30","0","0.9861074705111402","false","0","IL12B","6149","0.55640589569161"
"1.6666666666666667","0.027648230328349187","0.6","0.3974630021141649","44","3","44","33","false","IL27RA","49.90909090909091","0","44","11","0","0.9863695937090432","false","0","IL27RA","5325","0.6013143483023001"
"1.7857142857142858","0.05526960058275449","0.5599999999999999","0.3819607843137255","51","4","51","44","false","IL9","48.450980392156865","0","51","7","0","0.9874180865006553","false","0","IL9","4903","0.576797385620915"
"1.6166666666666667","0.01639962824260239","0.6185567010309279","0.35135135135135137","37","4","37","8","false","IFNK","46.567567567567565","0","37","29","0","0.9847968545216251","false","0","IFNK","3306","0.5820945945945946"
"1.46","0.04331475084973148","0.684931506849315","0.3544871794871795","40","3","40","11","false","IL12A","47.6","0","40","29","0","0.9859764089121887","false","0","IL12A","5606","0.5666666666666667"
"1.2881355932203389","0.052116791471813924","0.7763157894736843","0.3672077922077922","56","3","56","12","false","IFNL1","47.160714285714285","0","56","44","0","0.9883355176933158","false","0","IFNL1","7932","0.5548319327731093"
"1.3793103448275863","0.03708650183162191","0.725","0.3862745098039216","51","3","51","13","false","IFNL2","47.76470588235294","0","51","38","0","0.9872870249017038","false","0","IFNL2","6255","0.5754783841247342"
"1.725","0.05297224582366252","0.5797101449275363","0.289247311827957","31","4","31","13","false","IL20","44.516129032258064","0","31","18","0","0.9837483617300131","false","0","IL20","5667","0.5634953042057983"
"1.456140350877193","0.0306017321889925","0.6867469879518072","0.3753623188405797","46","3","46","13","false","IFNL3","46.93478260869565","0","46","33","0","0.9866317169069463","false","0","IFNL3","5250","0.5654793085385018"
"1.7037037037037037","0.026404594535794964","0.5869565217391304","0.2923387096774194","32","4","32","9","false","IFNW1","44.0625","0","32","23","0","0.9826998689384011","false","0","IFNW1","4178","0.6205985915492958"
"1.4179104477611941","0.02969634699010354","0.7052631578947368","0.36717171717171715","45","3","45","4","false","IFNA13","47.71111111111111","0","45","41","0","0.9863695937090432","false","0","IFNA13","3794","0.5818428184281843"
"1.5555555555555556","0.015415857228250342","0.6428571428571428","0.35135135135135137","37","4","37","5","false","IFNE","46.567567567567565","0","37","32","0","0.9847968545216251","false","0","IFNE","3097","0.5820945945945946"
"1.4634146341463414","0.112354470816278","0.6833333333333333","0.37465309898242366","47","3","47","23","false","IL19","47.638297872340424","0","47","24","0","0.9865006553079947","false","0","IL19","8432","0.5809548521017125"
"1.5333333333333334","0.0771089121280827","0.6521739130434783","0.38475177304964536","48","3","48","32","false","IL24","48.270833333333336","0","48","16","0","0.9868938401048494","false","0","IL24","7712","0.5815763052208835"
"1.6470588235294117","0.04313431632421731","0.6071428571428572","0.3850267379679144","34","3","34","14","false","IL11RA","50.1764705882353","0","34","20","0","0.984534731323722","false","0","IL11RA","5813","0.6272058823529412"
"1.8666666666666667","0.015821531280749757","0.5357142857142857","0.4014396456256921","43","4","43","37","false","IL6ST","50.116279069767444","0","43","6","0","0.9862385321100918","false","0","IL6ST","3181","0.6038105912020174"
"1.5769230769230769","0.059885358137262014","0.6341463414634146","0.3940795559666975","47","3","47","34","false","IL2RB","49.61702127659574","0","47","13","0","0.9868938401048494","false","0","IL2RB","6937","0.5977954370674186"
"1.7307692307692308","0.043223790753141526","0.5777777777777777","0.435632183908046","30","3","30","21","false","IL26","51.833333333333336","0","30","9","0","0.9849279161205767","false","0","IL26","2260","0.6098039215686275"
"2.0","0.006818967644282292","0.5","0.3719758064516129","32","4","32","28","false","IL9R","51.8125","0","32","4","0","0.984534731323722","false","0","IL9R","1615","0.6396604938271605"
"1.5106382978723405","0.056689948289920286","0.6619718309859155","0.4090909090909091","45","3","45","20","false","IL12RB2","50.68888888888889","0","45","25","0","0.9865006553079947","false","0","IL12RB2","8051","0.6107095046854083"
"1.9230769230769231","0.0","0.52","0.5","11","3","11","7","false","IL37","56.81818181818182","0","11","4","0","0.9812581913499345","false","0","IL37","0","0.7284382284382285"
"1.6176470588235294","0.0397317746497684","0.6181818181818182","0.39957716701902746","44","3","44","29","false","IL22RA1","49.75","0","44","15","0","0.9863695937090432","false","0","IL22RA1","6259","0.5993975903614458"
"1.392156862745098","0.09340830903209119","0.7183098591549296","0.38235294117647056","51","3","51","19","false","IL10RB","48.588235294117645","0","51","32","0","0.9887287024901704","false","0","IL10RB","11915","0.5584854631507775"
