#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IL10RA	NOD2	9606.ENSP00000227752	9606.ENSP00000300589	0	0	0	0	0.325	0	0	0.448	0.611
IL10RA	IL22RA2	9606.ENSP00000227752	9606.ENSP00000296980	0	0	0	0	0.092	0	0	0.660	0.678
IL10RA	IL23A	9606.ENSP00000227752	9606.ENSP00000228534	0	0	0.200	0	0.072	0	0.650	0.274	0.786
IL10RA	IL22	9606.ENSP00000227752	9606.ENSP00000442424	0	0	0	0	0	0	0.650	0.832	0.938
IL10RA	IL22RA1	9606.ENSP00000227752	9606.ENSP00000270800	0	0	0.225	0	0	0	0	0.971	0.976
IL10RA	IL10RB	9606.ENSP00000227752	9606.ENSP00000290200	0	0	0	0	0.129	0.926	0.900	0.999	0.999
IL10RB	IL23A	9606.ENSP00000290200	9606.ENSP00000228534	0	0	0	0	0	0	0.650	0.265	0.731
IL10RB	IL22RA1	9606.ENSP00000290200	9606.ENSP00000270800	0	0	0	0	0	0.561	0.800	0.999	0.999
IL10RB	IL23R	9606.ENSP00000290200	9606.ENSP00000321345	0	0	0	0	0.087	0	0	0.418	0.445
IL10RB	NOD2	9606.ENSP00000290200	9606.ENSP00000300589	0	0	0	0	0.129	0	0	0.397	0.453
IL10RB	IL12RB1	9606.ENSP00000290200	9606.ENSP00000470788	0	0	0	0	0.113	0	0	0.447	0.488
IL10RB	IL22RA2	9606.ENSP00000290200	9606.ENSP00000296980	0	0	0	0	0.061	0.236	0.500	0.780	0.910
IL10RB	IL22	9606.ENSP00000290200	9606.ENSP00000442424	0	0	0	0	0	0.814	0.900	0.997	0.999
IL12RB1	IL23A	9606.ENSP00000470788	9606.ENSP00000228534	0	0	0	0	0	0.852	0.900	0.916	0.998
IL12RB1	NOD2	9606.ENSP00000470788	9606.ENSP00000300589	0	0	0	0	0.130	0	0	0.499	0.545
IL12RB1	IL23R	9606.ENSP00000470788	9606.ENSP00000321345	0	0	0	0	0.102	0.852	0.900	0.998	0.999
IL12RB1	IL22	9606.ENSP00000470788	9606.ENSP00000442424	0	0	0	0	0.047	0	0.650	0.702	0.891
IL22	IL23A	9606.ENSP00000442424	9606.ENSP00000228534	0	0	0	0	0.061	0	0	0.890	0.892
IL22	IL37	9606.ENSP00000442424	9606.ENSP00000263326	0	0	0	0	0	0	0	0.447	0.447
IL22	IL22RA1	9606.ENSP00000442424	9606.ENSP00000270800	0	0	0	0	0	0.986	0.900	0.998	0.999
IL22	IL22RA2	9606.ENSP00000442424	9606.ENSP00000296980	0	0	0	0	0.061	0.892	0.900	0.969	0.999
IL22	NOD2	9606.ENSP00000442424	9606.ENSP00000300589	0	0	0	0	0.042	0.211	0	0.570	0.647
IL22	IL23R	9606.ENSP00000442424	9606.ENSP00000321345	0	0	0	0	0.088	0	0.650	0.848	0.947
IL22	NLRP3	9606.ENSP00000442424	9606.ENSP00000337383	0	0	0	0	0.044	0	0	0.472	0.473
IL22RA1	IL23A	9606.ENSP00000270800	9606.ENSP00000228534	0	0	0.243	0	0	0	0.650	0.321	0.804
IL22RA1	IL23R	9606.ENSP00000270800	9606.ENSP00000321345	0	0	0	0	0	0	0	0.419	0.418
IL22RA1	IL22RA2	9606.ENSP00000270800	9606.ENSP00000296980	0	0	0.096	0.680	0	0.236	0.500	0.545	0.821
IL22RA2	IL23A	9606.ENSP00000296980	9606.ENSP00000228534	0	0	0	0	0.087	0	0.650	0.160	0.708
IL23A	NOD2	9606.ENSP00000228534	9606.ENSP00000300589	0	0	0	0	0.084	0	0	0.399	0.425
