Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3899300,"SUMOylation of transcription cofactors",3,44,0.0027178948668849217,0.009149030869628927,0.05489418521777356,5,27,0.0016868674247157316,9606,Homo sapiens,"CREBBP;TRIM28;RNF2","","R-HSA-3108203;R-HSA-3927824;R-HSA-3927959;R-HSA-3108209;R-HSA-3782535"
R-HSA-5689896,"Ovarian tumor domain proteases",3,44,0.0027178948668849217,0.009149030869628927,0.05489418521777356,2,14,8.746719980007497E-4,9606,Homo sapiens,"VCP;RIPK2;NOD2","","R-HSA-688136;R-HSA-6781953"
R-HSA-8853884,"Transcriptional Regulation by VENTX",3,48,0.0029649762184199148,0.011552561873259592,0.0581593107506001,3,13,8.121954267149819E-4,9606,Homo sapiens,"IL6;RELA","","R-HSA-3857305;R-HSA-8853890;R-HSA-3790130"
R-HSA-2559582,"Senescence-Associated Secretory Phenotype (SASP)",4,90,0.00555933040953734,0.01163186215012002,0.0581593107506001,6,22,0.0013744845682868924,9606,Homo sapiens,"IL6;STAT3;RELA","","R-HSA-3790137;R-HSA-3857305;R-HSA-3788748;R-HSA-3857308;R-HSA-3858387;R-HSA-3790130"
R-HSA-2565942,"Regulation of PLK1 Activity at G2/M Transition",4,92,0.005682871085304837,0.012516354069256885,0.06258177034628443,9,12,7.49718855429214E-4,9606,Homo sapiens,"CEP152;CEP192;BTRC;OPTN","","R-HSA-3000335;R-HSA-3000319;R-HSA-2562594;R-HSA-3002811;R-HSA-2562526;R-HSA-2574845;R-HSA-3000310;R-HSA-3000339;R-HSA-2574840"
R-HSA-2559583,"Cellular Senescence",6,199,0.012292297238865896,0.013170204955836207,0.06585102477918103,10,90,0.0056228914157191055,9606,Homo sapiens,"IL6;IFNB1;STAT3;RELA;RNF2","","R-HSA-3790137;R-HSA-3229089;R-HSA-3223200;R-HSA-3857305;R-HSA-3223236;R-HSA-3788748;R-HSA-3857308;R-HSA-3858387;R-HSA-3790130;R-HSA-3229102"
R-HSA-1170546,"Prolactin receptor signaling",2,18,0.001111866081907468,0.013344183671234466,0.06672091835617233,14,14,8.746719980007497E-4,9606,Homo sapiens,"BTRC;PRLR","","R-HSA-1675473;R-HSA-1369080;R-HSA-1369114;R-HSA-1369115;R-HSA-1370500;R-HSA-976991;R-HSA-1671691;R-HSA-982810;R-HSA-1364044;R-HSA-1302698;R-HSA-1170539;R-HSA-1370505;R-HSA-1671687;R-HSA-1364043"
R-HSA-5654227,"Phospholipase C-mediated cascade; FGFR3",2,18,0.001111866081907468,0.013344183671234466,0.06672091835617233,3,3,1.874297138573035E-4,9606,Homo sapiens,"FGFR3","","R-HSA-5654148;R-HSA-5654224;R-HSA-5654222"
R-HSA-8854214,"TBC/RABGAPs",3,51,0.0031502872320711595,0.013571669431038158,0.06683861326293794,2,14,8.746719980007497E-4,9606,Homo sapiens,"OPTN;RAB33A;RAB33B","","R-HSA-8854182;R-HSA-8854612"
R-HSA-1433557,"Signaling by SCF-KIT",3,51,0.0031502872320711595,0.013571669431038158,0.06683861326293794,4,39,0.0024365862801449456,9606,Homo sapiens,"STAT1;STAT3","","R-HSA-1433456;R-HSA-1470012;R-HSA-1470010;R-HSA-1470009"
R-HSA-3928662,"EPHB-mediated forward signaling",3,52,0.003212057569954908,0.014286473267432931,0.06683861326293794,2,26,0.0016243908534299637,9606,Homo sapiens,"CFL1;ACTB","","R-HSA-3928595;R-HSA-3928608"
R-HSA-190239,"FGFR3 ligand binding and activation",2,19,0.0011736364197912164,0.014775377743771467,0.06683861326293794,4,6,3.74859427714607E-4,9606,Homo sapiens,"FGFR3","","R-HSA-190385;R-HSA-190263;R-HSA-190388;R-HSA-190261"
R-HSA-193639,"p75NTR signals via NF-kB",2,19,0.0011736364197912164,0.014775377743771467,0.06683861326293794,3,13,8.121954267149819E-4,9606,Homo sapiens,"RIPK2;RELA","","R-HSA-193691;R-HSA-193656;R-HSA-193705"
R-HSA-9673767,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",2,19,0.0011736364197912164,0.014775377743771467,0.06683861326293794,1,7,4.3733599900037484E-4,9606,Homo sapiens,"STAT1;STAT3","","R-HSA-9672176"
R-HSA-9673770,"Signaling by PDGFRA extracellular domain mutants",2,19,0.0011736364197912164,0.014775377743771467,0.06683861326293794,1,7,4.3733599900037484E-4,9606,Homo sapiens,"STAT1;STAT3","","R-HSA-9672159"
R-HSA-446353,"Cell-extracellular matrix interactions",2,19,0.0011736364197912164,0.014775377743771467,0.06683861326293794,1,10,6.247657128576784E-4,9606,Homo sapiens,"ACTB","","R-HSA-430347"
R-HSA-445989,"TAK1-dependent IKK and NF-kappa-B activation  ",3,55,0.003397368583606152,0.01655726115231737,0.06683861326293794,4,17,0.0010621017118580532,9606,Homo sapiens,"RIPK2;NOD2;RELA","","R-HSA-168166;R-HSA-9630923;R-HSA-168184;R-HSA-9773803"
R-HSA-168898,"Toll-like Receptor Cascades",6,210,0.012971770955587127,0.016709653315734485,0.06683861326293794,16,217,0.01355741596901162,9606,Homo sapiens,"RIPK2;IRF5;NOD2;BTRC;OPTN;RELA","","R-HSA-9860278;R-HSA-9828209;R-HSA-168166;R-HSA-9860273;R-HSA-450337;R-HSA-9823934;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9860292;R-HSA-9860290;R-HSA-9823906;R-HSA-9828205;R-HSA-9630923;R-HSA-168184;R-HSA-9773803"
